Authors,Sum Of Times Cited,Publications,Num Patentes
RUIZ SCHNEIDER ELFEGO GUILLERMO,0,1,
CHICUREL UZIEL RICARDO,0,4,
RODRIGUEZ RODRIGUEZ JOAQUIN HECTOR,21,8,
OLAYO GONZALEZ ROBERTO,2385,102,
CASTAÑO MENESES VICTOR MANUEL,47,15,
PEREZ ROBLES JUAN FRANCISCO,1336,78,
MARCHETTI TIRABOSCHI SERGIO VLADIMIRO,NaN,NaN,
SERNA SALDIVAR SERGIO ROMAN OTHON,7449,290,
GARZON TIZNADO JOSE ANTONIO,48,5,
IBARRA VELARDE OSVALDO FROYLAN,648,45,
RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,680,45,
ACOSTA ORTIZ SOFIA ELIZABETH,634,27,
VEGA Y SAENZ DE MIERA MARIA DEL ROSARIO GUADALUPE,176,1,
CASTILLEJOS ESCOBAR ALFONSO HUMBERTO,5,3,
PACHECO SOTELO JOEL OSVALDO,422,66,
VERA MONTENEGRO REMEDIOS YOLANDA,236,24,
LOPEZ GOERNE TESSY MARIA,70,7,
GOSSET LAGARDA GUILLERMO,3,1,
AGUILAR ESCALANTE RODOLFO ANTONIO,0,1,
SOTO PEREDO CLAUDIA ANGELICA,29,3,
GORDILLO MOSCOSO JOSE LUIS,739,72,
GALLEGOS CAZARES SERGIO,21,3,
TORRES MONTALVO JOSE HERIBERTO,5,1,
ROFFE SAMANIEGO NORMA FRIDA,NaN,NaN,
MARTINEZ JIMENEZ ALFREDO,4566,115,
HERRERA ESTRELLA ALFREDO HERIBERTO,7843,135,
VIADER SALVADO JOSE MARIA,403,39,
REYES ESPARZA JORGE ALBERTO,584,31,
LUNA AGUILAR ESTEBAN ANTOLIN,66,8,
BOSQUES PADILLA FRANCISCO JAVIER,2066,94,
PERCINO ZACARIAS MARIA JUDITH,33,11,
HERNANDEZ CAMPOS MARIA ALICIA,0,2,
BRUCE DAVIDSON NEIL CHARLES,661,15,
BORBOLLA ESCOBOZA JOSE RAFAEL,311,23,
VARGAS ARISPURO IRASEMA DEL CARMEN,617,42,
CARRILLO PEDROZA FRANCISCO RAUL,519,34,
RUIZ SOTO GABRIELA MARIA,3,3,
DE LEON SAENZ MARIA ESTHER,295,15,
MORALES CORONA JUAN,104,22,
ROJAS AVELIZAPA NORMA GABRIELA,254,28,
ESCOBAR BARRIOS VLADIMIR ALONSO,642,45,
ZARAGOZA CONTRERAS ERASTO ARMANDO,1033,50,
GARCIA CERDA LUIS ALFONSO,1451,50,
SEGOVIA QUINTERO MANUEL ALBERTO,30,1,
HERNANDEZ ROJO MARCO ANTONIO,1,1,
MORGAN SAGASTUME JUAN MANUEL,693,28,
VALDIVIEZO MIJANGOS OSCAR CERAPIO,1,2,
BARROSO VILLA JUAN GERARDO,0,1,
NEIRA VELAZQUEZ MARIA GUADALUPE,45,11,
ESCUDERO URIBE APOLO ZEUS,17,5,
ALVAREZ GAYOSSO CARLOS ANDRES,19,3,
LOPEZ ZAVALA MIGUEL ANGEL,474,27,
LUNA PIZARRO DANIEL,68,4,
HERNANDEZ ROMERO YANET MICAHELA,163,4,
CONTRERAS RAMOS SILVIA MARIBEL,1308,43,
ALONSO GARCIA ANA LUCIA,4,1,
ZAMORA ESQUIVEL JULIO CESAR,147,20,
DOMINGUEZ MALDONADO JORGE ARTURO,493,25,
ABSALON CONSTANTINO ANGEL EDUARDO,522,17,
ZEPEDA PARTIDA TRINO ARMANDO,1794,50,
VALDEZ FERNANDEZ ANDRES ALEJANDRO,901,50,
CHAUVIN ANNE-LAURE PATRICIA,475,45,
CAMPORREDONDO SAUCEDO JESUS EMILIO,51,3,
ORTIZ GARCIA DIANA MARIA,NaN,NaN,
PEREZ SANCHEZ ALFONSO,256,10,
FLORES VALDEZ MARIO ALBERTO,708,50,
RAMIREZ VERDUZCO LUIS FELIPE,255,8,
RODRIGUEZ DOMINGUEZ JOSE MANUEL,89,14,
OLIVARES XOMETL CRESCENCIO OCTAVIO,2284,50,
DIAZ DE LEON GOMEZ RAMON ENRIQUE,47,15,
VALDEZ CRUZ NORMA ADRIANA,1192,50,
REYES VIDAL MARIA YOLANDA,216,14,
ESPINO SOLIS GERARDO PAVEL,279,26,
RODRIGUEZ LELIS JOSE MARIA,151,35,
VILLANUEVA LOPEZ GUADALUPE CLEVA,590,46,
SALGADO CEBALLOS HERMELINDA,856,50,
BARAJAS RAMIREZ JUAN GONZALO,267,20,
GARCIA CASILLAS PERLA ELVIA,400,34,
AMEZCUA ALLIERI MYRIAM ADELA,488,40,
RANGEL MENDEZ JOSE RENE,3452,50,
FLORES GALLARDO SERGIO GABRIEL,437,25,
MENDOZA PEREZ JORGE ALBERTO,461,34,
CAMACHO LOPEZ MIGUEL ANGEL,2246,50,
GARNICA GARZA HECTOR MAURICIO,183,23,
FIGUEROA YAÑEZ LUIS JOEL,101,12,
HUERTA BERISTAIN GERARDO,220,16,
DIAZ DE LEON HERNANDEZ JORGE NOE,777,38,
CAMACHO VILLEGAS TANYA AMANDA,426,29,
UTRILLA CARRERI JOSE,758,26,
GONGORA CASTILLO ELSA BEATRIZ,995,20,
SANTIAGO GARCIA JOSE LUIS,411,24,
CORDOURIER MARURI HECTOR ALFONSO,16,7,
MORALES GUADARRAMA JUAN CARLOS AXAYACATL,20,99,
ALVAREZ MAJMUTOV ANTON,214,32,
ALVAREZ MEJIA ANA LAURA,227,25,
