Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Two-stage uninterruptible power supply with high power factor,"Vazquez, Nimrod; Villegas-Saucillo, Jesus; Hernandez, Claudia; Rodriguez, Elias; Arau, Jaime",,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,AUG 2008,2008,55.0,8.0,,,,2954.0,2962,,10.1109/TIE.2008.918475,,,21,"1,24",0,0,0,0,0,0,0,1,2,1,1,2,2,3,2,1,2,1,0,2,0,1,0
AC voltage regulator based on the AC-AC buck-boost converter,"Vazquez, N.; Velazquez, A.; Hernandez, C.",,,,"2007 IEEE INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS, PROCEEDINGS, VOLS 1-8",2007,2007,,,,,,533.0,537,,10.1109/ISIE.2007.4374653,IEEE International Symposium on Industrial Electronics,"JUN 04-07, 2007",19,"1,06",0,0,0,0,0,0,1,0,1,2,0,2,2,2,5,1,1,1,0,0,1,0,0
A new non-linear control strategy for the boost inverter,"Vázquez, N; Cortés, D; Hernández, C; Alvarez, J; Arau, J; Alvarez, J",,,,"PESC'03: 2003 IEEE 34TH ANNUAL POWER ELECTRONICS SPECIALISTS CONFERENCE, VOLS 1-4, CONFERENCE PROCEEDINGS",2003,2003,,,,,,1403.0,1407,,,34th Annual IEEE Power Electronics Specialists Conference,"JUN 15-19, 2003",19,"0,86",0,0,0,0,0,3,1,1,0,1,1,0,3,0,0,2,2,1,2,1,1,0,0
A Novel Integrated Topology to Interface Electric Vehicles and Renewable Energies with the Grid,"Alvarez-Diazcomas, Alfredo; Lopez, Hector; Carrillo-Serrano, Roberto, V; Rodriguez-Resendiz, Juvenal; Vazquez, Nimrod; Herrera-Ruiz, Gilberto",,,,ENERGIES,NOV 2019,2019,12.0,21.0,,,,,,4091,10.3390/en12214091,,,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,0
A New Predictive Control Strategy for Multilevel Current-Source Inverter Grid-Connected,"Estevez-Ben, Adyr A.; Lopez Tapia, Hector Juan Carlos; Valentin Carrillo-Serrano, Roberto; Rodriguez-Resendiz, Juvenal; Vazquez Nava, Nimrod",,,,ELECTRONICS,AUG 2019,2019,8.0,8.0,,,,,,902,10.3390/electronics8080902,,,14,"2,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,3,1
Grid-Connected Photovoltaic System with Active Power Filtering Functionality,"Vaquero, Joaquin; Vazquez, Nimrod; Soriano, Ivan; Vazquez, Jeziel",,,,INTERNATIONAL JOURNAL OF PHOTOENERGY,2018,2018,2018.0,,,,,,,2140797,10.1155/2018/2140797,,,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,2,2,0
L vs. LCL Filter for Photovoltaic Grid-Connected Inverter: A Reliability Study,"Villanueva, Ignacio; Vazquez, Nimrod; Vaquero, Joaquin; Hernandez, Claudia; Lopez, Hector; Osorio, Rene",,,,INTERNATIONAL JOURNAL OF PHOTOENERGY,JAN 29 2020,2020,2020.0,,,,,,,7872916,10.1155/2020/7872916,,,13,"2,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3
A different approach to implement an active input current shaper,"Vázquez, N; López, J; Arau, J; Hernández, C; Rodríguez, E",,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,FEB 2005,2005,52.0,1.0,,,,132.0,138,,10.1109/TIE.2004.841101,33rd IEEE Annual Power Electronics Specialists Conference (PESC02),"JUN 23-27, 2002",13,"0,65",0,0,0,0,0,1,3,1,1,2,2,1,0,0,1,0,0,0,0,0,0,1,0
Finite Control Set - Model Predictive Control Based On Sliding Mode For Bidirectional Power Inverter,"Estrada, Leonel; Vazquez, Nimrod; Vaquero, Joaquin; Hernandez, Claudia; Arau, Jaime; Huerta, Hector",,,,IEEE TRANSACTIONS ON ENERGY CONVERSION,DEC 2021,2021,36.0,4.0,,,,2814.0,2824,,10.1109/TEC.2021.3063601,,,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2
Maximum Power Point Tracking Based on Sliding Mode Control,"Vazquez, Nimrod; Azaf, Yuz; Cervantes, Ilse; Vazquez, Esli; Hernandez, Claudia",,,,INTERNATIONAL JOURNAL OF PHOTOENERGY,2015,2015,2015.0,,,,,,,380684,10.1155/2015/380684,,,12,"1,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,2,2,1,0
Fuzzy Logic Control With an Improved Algorithm for Integrated LED Drivers,"Osorio, Rene; Marcos Alonso, J.; Vazquez, Nimrod; Enrique Pinto, Sergio; De Jesus Sorcia-Vazquez, Felipe; Martinez, Mario; Manuel Barrera, Luis",,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,SEP 2018,2018,65.0,9.0,,,,6994.0,7003,,10.1109/TIE.2018.2795565,,,11,"1,57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,2,1,0
Sliding mode control for DC/DC converters: A new sliding surface,"Vazquez, N; Hernandez, C; Alvarez, J; Arau, J",,,,"2003 IEEE INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS, VOLS 1 AND 2",2003,2003,,,,,,422.0,426,,,IEEE International Symposium on Industrial Electronics,"JUN 09-11, 2003",11,"0,5",0,0,0,1,2,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
